step,losses/eval.bodypart_heatmap,losses/eval.bodypart_locref,losses/eval.bodypart_total_loss,losses/eval.total_loss,losses/train.bodypart_heatmap,losses/train.bodypart_locref,losses/train.bodypart_total_loss,losses/train.total_loss,metrics/test.mAP,metrics/test.mAR,metrics/test.rmse,metrics/test.rmse_pcutoff
1,,,,,0.002442062133923173,0.477855920791626,0.0131674287840724,0.0131674287840724,,,,
2,,,,,0.0010893148137256503,0.3091357350349426,0.008273052051663399,0.008273052051663399,,,,
3,,,,,0.0008479725802317262,0.2180705964565277,0.005875750910490751,0.005875750910490751,,,,
4,,,,,0.0007186706061474979,0.18663766980171204,0.005025277845561504,0.005025277845561504,,,,
5,,,,,0.0006071272073313594,0.164358988404274,0.00441253837198019,0.00441253837198019,,,,
6,,,,,0.0004765007470268756,0.13514958322048187,0.003616990288719535,0.003616990288719535,,,,
7,,,,,0.0003778898681048304,0.11227478086948395,0.00299581466242671,0.00299581466242671,,,,
8,,,,,0.00034310721093788743,0.11043339222669601,0.0029323885682970285,0.0029323885682970285,,,,
9,,,,,0.0003402133588679135,0.10602311789989471,0.002820685040205717,0.002820685040205717,,,,
10,0.0018045486649498343,0.12532168626785278,0.004035316873341799,0.004035316873341799,0.0003398138505872339,0.10159624367952347,0.002709813416004181,0.002709813416004181,42.04620462046205,50.000000000000014,3.458280563354492,3.397632598876953
11,,,,,0.0003481385938357562,0.09661976248025894,0.0025895636063069105,0.0025895636063069105,,,,
12,,,,,0.0003553905407898128,0.1053714007139206,0.002811980666592717,0.002811980666592717,,,,
13,,,,,0.00032964808633551,0.10374311357736588,0.002758402144536376,0.002758402144536376,,,,
14,,,,,0.0003032177046407014,0.09166420251131058,0.0024432141799479723,0.0024432141799479723,,,,
15,,,,,0.0002837630163412541,0.0917975977063179,0.0024368215817958117,0.0024368215817958117,,,,
16,,,,,0.00029447328415699303,0.08648154884576797,0.0023092753253877163,0.0023092753253877163,,,,
17,,,,,0.0002896895457524806,0.08422859013080597,0.002250559628009796,0.002250559628009796,,,,
18,,,,,0.00032401367207057774,0.09382481873035431,0.0025076274760067463,0.0025076274760067463,,,,
19,,,,,0.0003176291356794536,0.09451049566268921,0.0025215770583599806,0.0025215770583599806,,,,
